variable	Difference	lwr	upr	p_adj	Groups
114	IL22RA1	-0.904368350901081	-1.49196018681523	-0.316776514986936	0.000807918542444996	PSNL.yes-PSL.yes
115	CXCL8	-5.17937930425008	-8.21618423017939	-2.14257437832077	0.00026653317077896	PSNL.no-PSL.no
117	CXCL8	-5.73930756251017	-8.99591803689467	-2.48269708812568	0.000166718810419964	PSNL.yes-PSL.no
118	CXCL8	5.33493630091349	2.19154456617595	8.47832803565103	0.000285447023383179	PSL.yes-PSNL.no
120	CXCL8	-5.89486455917358	-9.2510885120317	-2.53864060631547	0.000175158828701782	PSNL.yes-PSL.yes
121	LCN2	-3.05033287318595	-5.30619585923575	-0.79446988713615	0.00440296632963177	PSNL.no-PSL.no
123	LCN2	-4.40132873307911	-6.47927715845497	-2.32338030770325	8.8012103036661e-06	PSNL.yes-PSL.no
124	LCN2	3.50624160421372	1.12344530158738	5.88903790684007	0.00177275608543959	PSL.yes-PSNL.no
126	LCN2	-4.85723746410689	-7.07233792830762	-2.64213699990616	4.68475807058333e-06	PSNL.yes-PSL.yes
133	PI3	-7.54137166547162	-9.34068416967051	-5.74205916127272	1.79657400067867e-11	PSNL.no-PSL.no
135	PI3	-8.63492304113317	-10.5307906554217	-6.73905542684463	1.79525283527937e-11	PSNL.yes-PSL.no
136	PI3	7.20913890262862	5.28903090068445	9.12924690457278	1.81806791843542e-11	PSL.yes-PSNL.no
138	PI3	-8.30269027829017	-10.3135615477333	-6.29181900884709	1.79715131665148e-11	PSNL.yes-PSL.yes
139	PYCARD	-0.874532312059427	-1.43349573299445	-0.315568891124401	0.000653665382116198	PSNL.no-PSL.no
141	PYCARD	-1.02699052191828	-1.61911510475675	-0.434865939079813	0.000143059322240235	PSNL.yes-PSL.no
142	PYCARD	0.718065646253288	0.122709568192709	1.31342172431387	0.0119879433957683	PSL.yes-PSNL.no
144	PYCARD	-0.870523856112141	-1.4971180432396	-0.243929668984686	0.00287237616905422	PSNL.yes-PSL.yes
145	S100A8	-6.52853936951591	-8.33885675362112	-4.7182219854107	1.5976109324356e-11	PSNL.no-PSL.no
147	S100A8	-7.1390661194119	-9.01659327011304	-5.26153896871077	1.50884860161682e-11	PSNL.yes-PSL.no
148	S100A8	6.23731852545269	4.30913607651378	8.16550097439159	5.80476777756189e-11	PSL.yes-PSNL.no
150	S100A8	-6.84784527534868	-8.83926354553262	-4.85642700516473	2.0460300120817e-11	PSNL.yes-PSL.yes
151	S100A9	-6.66188839370129	-8.63622102835883	-4.68755575904375	2.32801555810624e-11	PSNL.no-PSL.no
153	S100A9	-7.81141086725088	-9.93622004479724	-5.68660168970452	1.185462839004e-11	PSNL.yes-PSL.no
154	S100A9	6.54928534063279	4.39842849617849	8.70014218508709	3.39823391648508e-10	PSL.yes-PSNL.no
156	S100A9	-7.69880781418238	-9.98856977867725	-5.40904584968752	2.48037146377555e-11	PSNL.yes-PSL.yes
