variable	Difference	lwr	upr	p_adj	Groups
6	AIM2	-1.78735684087037	-3.11973341097566	-0.454980270765072	0.00688081251219574	PSNL.typeI-PSL.typeI
4	AIM2	2.74116671526874	0.674371914197314	4.80796151634016	0.00753217177654963	PSL.typeI-PSNL.typeII
12	CCL2	-1.1648832321167	-1.94960516632519	-0.380161297908214	0.0021245453568739	PSNL.typeI-PSL.typeI
10	CCL2	1.30684995651245	0.268760413385831	2.34493949963907	0.00979652523232022	PSL.typeI-PSNL.typeII
18	CCL20	-3.49709801126829	-6.00859463095177	-0.985601391584808	0.00456347137909174	PSNL.typeI-PSL.typeI
15	CCL20	-3.41212384911004	-6.33021922373714	-0.494028474482937	0.0183473245328227	PSNL.typeI-PSL.typeII
24	CCL27	2.09326655069987	1.09036920346721	3.09616389793253	3.13588519440522e-05	PSNL.typeI-PSL.typeI
21	CCL27	1.8841329574585	0.655839574903066	3.11242634001393	0.00150767208249569	PSNL.typeI-PSL.typeII
22	CCL27	-1.95460001627604	-3.28130850192805	-0.627891530624036	0.0022951134745991	PSL.typeI-PSNL.typeII
19	CCL27	1.74546642303467	0.241120402185677	3.24981244388366	0.0186026532432902	PSNL.typeII-PSL.typeII
36	CTLA4	-2.44948929075211	-4.07466379354451	-0.824314787959702	0.00255870083253429	PSNL.typeI-PSL.typeI
33	CTLA4	-2.2704521966359	-4.49581403429	-0.0450903589817893	0.0446599017419527	PSNL.typeI-PSL.typeII
42	CXCL1	-4.29120417435964	-5.82016683709752	-2.76224151162176	6.69895699689782e-07	PSNL.typeI-PSL.typeI
39	CXCL1	-3.40638778209686	-5.24397220835399	-1.56880335583973	0.00022072164803788	PSNL.typeI-PSL.typeII
46	CXCL10	2.69611657482542	0.999868265928708	4.39236488372214	0.00117053568201997	PSL.typeI-PSNL.typeII
48	CXCL10	-1.44380392342198	-2.66608091886582	-0.221526927978132	0.0166985683069991	PSNL.typeI-PSL.typeI
