,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PYCARD,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V7_72h,22.73900032043457,0.039577,22.76,,18.312000274658203,0.057073,18.29,,4.47,-7.95,0.069452,,247.794,0.03274,,
,V8_PMA,29.375999450683594,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,29.693000793457031,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,29.825000762939453,0.23,29.63,,18.552000045776367,0.034674,18.59,,11.04,-1.38,0.23,,2.612,0.11,,
,V8_SEB,23.309999465942383,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,23.424999237060547,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,23.398000717163086,0.060136,23.38,,14.394000053405762,0.057457,14.37,,9.01,-3.42,0.083173,,10.698,0.039208,,
,V8_72h,21.645999908447266,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,21.594999313354492,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,21.620000839233398,0.025502,21.62,,15.28600025177002,0.06338,15.23,,6.39,-6.03,0.068318,,65.451,0.032205,,
,V9_PMA,30.559999465942383,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,30.959999084472656,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,30.465000152587891,0.26,30.66,,19.208000183105469,0.12,19.28,,11.39,-1.04,0.29,,2.055,0.14,,
,V9_SEB,25.791000366210938,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,25.704999923706055,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,25.822000503540039,0.060617,25.77,,15.815999984741211,0.086008,15.90,,9.87,-2.55,0.11,,5.874,0.049602,,
,V9_72h,25.26300048828125,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,25.392000198364258,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,25.527999877929688,0.13,25.39,,18.700000762939453,0.032005,18.69,,6.71,-5.72,0.14,,52.600,0.064264,,
,V10_PMA,32.542999267578125,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,31.524999618530273,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,,0.72,32.03,,22.124000549316406,0.036373,22.17,,9.87,-2.56,0.72,,5.888,0.39,,
,V10_SEB,24.474000930786133,,,,15.586999893188477,,,,,,,,,,,
,V10_SEB,24.506999969482422,,,,15.562999725341797,,,,,,,,,,,
,V10_SEB,24.503000259399414,0.018009,24.49,,15.668999671936035,0.055582,15.61,,8.89,-3.54,0.058426,,11.610,0.027542,,
,V10_72h,22.676000595092773,,,,16.215000152587891,,,,,,,,,,,
,V10_72h,22.686000823974609,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,22.636999130249023,0.025892,22.67,,16.170999526977539,0.028729,16.20,,6.46,-5.96,0.038675,,62.379,0.018231,,
,V11_PMA,29.37700080871582,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,29.631000518798828,,,,18.496000289916992,,,,,,,,,,,
,V11_PMA,29.701999664306641,0.17,29.57,,18.517000198364258,0.058398,18.47,,11.10,-1.33,0.18,,2.512,0.085124,,
,V11_SEB,23.107000350952148,,,,13.796999931335449,,,,,,,,,,,
,V11_SEB,23.110000610351563,,,,13.76200008392334,,,,,,,,,,,
,V11_SEB,23.048000335693359,0.034962,23.09,,13.88599967956543,0.063929,13.81,,9.27,-3.15,0.072865,,8.891,0.034349,,
,V11_72h,21.330999374389648,,,,15.402000427246094,,,,,,,,,,,
,V11_72h,21.306999206542969,,,,15.616999626159668,,,,,,,,,,,
,V11_72h,21.311000823974609,0.012858,21.32,,15.406999588012695,0.12,15.48,,5.84,-6.58,0.12,,95.980,0.058164,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
