,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,OAS2,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V8_PMA,24.940999984741211,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,24.906999588012695,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,24.966999053955078,0.030089,24.94,,18.552000045776367,0.034674,18.59,,6.35,2.25,0.045909,,0.211,0.021642,,
,V8_SEB,20.527000427246094,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,20.591999053955078,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,20.656999588012695,0.065,20.59,,14.394000053405762,0.057457,14.37,,6.22,2.12,0.086754,,0.230,0.040896,,
,V8_72h,21.733999252319336,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,21.562999725341797,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,,0.12,21.65,,15.28600025177002,0.06338,15.23,,6.42,2.32,0.14,,0.200,0.072972,,
,V9_PMA,24.750999450683594,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,25.360000610351563,0.43,25.06,,19.208000183105469,0.12,19.28,,5.78,1.68,0.45,,0.312,0.24,,
,V9_SEB,22.635000228881836,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,22.49799919128418,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,22.017999649047852,0.32,22.38,,15.815999984741211,0.086008,15.90,,6.48,2.38,0.34,,0.192,0.16,,
,V9_72h,24.909999847412109,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,24.919000625610352,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,25.030000686645508,0.066836,24.95,,18.700000762939453,0.032005,18.69,,6.27,2.17,0.074104,,0.223,0.034933,,
,V10_PMA,28.083000183105469,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,27.77400016784668,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,27.635000228881836,0.23,27.83,,22.124000549316406,0.036373,22.17,,5.66,1.56,0.23,,0.339,0.11,,
,V10_SEB,21.583999633789063,,,,15.586999893188477,,,,,,,,,,,
,V10_SEB,21.642999649047852,,,,15.562999725341797,,,,,,,,,,,
,V10_SEB,21.643999099731445,0.034356,21.62,,15.668999671936035,0.055582,15.61,,6.02,1.92,0.065343,,0.265,0.030803,,
,V10_72h,23.881000518798828,,,,16.215000152587891,,,,,,,,,,,
,V10_72h,23.906000137329102,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,24.030000686645508,0.079794,23.94,,16.170999526977539,0.028729,16.20,,7.74,3.63,0.084808,,0.080586,0.039979,,
,V11_PMA,24.370000839233398,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,24.402999877929688,,,,18.496000289916992,,,,,,,,,,,
