,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,IFIH1,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V5_SEB,23.073999404907227,0.020809,23.06,,14.607000350952148,0.019502,14.62,,8.45,2.38,0.028519,,0.193,0.013444,,
,V5_72h,24.856000900268555,,,,17.23699951171875,,,,,,,,,,,
,V5_72h,25.038000106811523,,,,17.299999237060547,,,,,,,,,,,
,V5_72h,24.992000579833984,0.094636,24.96,,17.277000427246094,0.03188,17.27,,7.69,1.62,0.099861,,0.326,0.047075,,
,V6_PMA,27.215999603271484,,,,19.724000930786133,,,,,,,,,,,
,V6_PMA,,,,,19.843999862670898,,,,,,,,,,,
,V6_PMA,27.208000183105469,0.005656,27.21,,19.870000839233398,0.07788,19.81,,7.40,1.33,0.078085,,0.398,0.041738,,
,V6_SEB,22.277999877929687,,,,12.51200008392334,,,,,,,,,,,
,V6_SEB,,,,,13.010000228881836,,,,,,,,,,,
,V6_SEB,21.767999649047852,0.36,22.02,,12.732999801635742,0.25,12.75,,9.27,3.20,0.44,,0.109,0.23,,
,V6_72h,Undetermined,,,,17.481000900268555,,,,,,,,,,,
,V6_72h,17.989999771118164,,,,17.933000564575195,,,,,,,,,,,
,V6_72h,25.239999771118164,5.13,21.61,,17.746000289916992,0.23,17.72,,3.89,-2.18,5.13,,4.521,2.74,,
,V7_PMA,28.795999526977539,,,,19.440000534057617,,,,,,,,,,,
,V7_PMA,27.974000930786133,,,,19.465999603271484,,,,,,,,,,,
,V7_PMA,,0.58,28.39,,19.413000106811523,0.026501,19.44,,8.95,2.87,0.58,,0.136,0.31,,
,V7_SEB,21.11199951171875,,,,13.425999641418457,,,,,,,,,,,
,V7_SEB,21.044000625610352,,,,13.420000076293945,,,,,,,,,,,
,V7_SEB,20.979999542236328,0.06601,21.05,,13.46399974822998,0.023861,13.44,,7.61,1.54,0.07019,,0.345,0.033088,,
,V7_72h,25.181999206542969,,,,18.22599983215332,,,,,,,,,,,
,V7_72h,25.041000366210938,,,,18.333999633789063,,,,,,,,,,,
,V7_72h,25.059000015258789,0.076739,25.09,,18.312000274658203,0.057073,18.29,,6.80,0.73,0.095636,,0.602,0.045083,,
,V8_PMA,25.802999496459961,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,25.666999816894531,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,25.893999099731445,0.11,25.79,,18.552000045776367,0.034674,18.59,,7.20,1.13,0.12,,0.458,0.05628,,
,V8_SEB,22.950000762939453,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,22.959999084472656,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,22.745000839233398,0.12,22.89,,14.394000053405762,0.057457,14.37,,8.51,2.44,0.13,,0.184,0.063292,,
,V8_72h,23.867000579833984,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,23.531999588012695,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,Undetermined,0.24,23.70,,15.28600025177002,0.06338,15.23,,8.47,2.40,0.25,,0.189,0.13,,
,V9_PMA,29.415000915527344,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,Undetermined,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,Undetermined,#DIV/0!,29.42,,19.208000183105469,0.12,19.28,,10.14,4.07,#DIV/0!,,0.059622,#DIV/0!,,
