,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,CTLA4,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V7_72h,29.070999145507812,0.22,29.25,,18.312000274658203,0.057073,18.29,,10.96,5.91,0.23,,0.016658,0.11,,
,V8_PMA,23.965999603271484,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,23.947000503540039,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,23.856000900268555,0.058796,23.92,,18.552000045776367,0.034674,18.59,,5.33,0.28,0.068259,,0.822,0.032177,,
,V8_SEB,19.040000915527344,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,19.03700065612793,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,19.056999206542969,0.010785,19.04,,14.394000053405762,0.057457,14.37,,4.67,-0.38,0.058461,,1.299,0.027559,,
,V8_72h,26.357999801635742,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,26.294000625610352,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,26.677000045776367,0.21,26.44,,15.28600025177002,0.06338,15.23,,11.22,6.17,0.21,,0.01393,0.10,,
,V9_PMA,25.14900016784668,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,25.294000625610352,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,25.184000015258789,0.075664,25.21,,19.208000183105469,0.12,19.28,,5.93,0.88,0.14,,0.542,0.067267,,
,V9_SEB,22.270999908447266,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,22.424999237060547,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,22.347999572753906,0.077,22.35,,15.815999984741211,0.086008,15.90,,6.45,1.40,0.12,,0.380,0.054419,,
,V9_72h,31.198999404907227,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,31.599000930786133,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,,0.28,31.40,,18.700000762939453,0.032005,18.69,,12.71,7.66,0.28,,0.004934,0.15,,
,V10_PMA,28.128000259399414,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,28.354999542236328,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,28.405000686645508,0.15,28.30,,22.124000549316406,0.036373,22.17,,6.13,1.08,0.15,,0.473,0.071672,,
,V10_SEB,21.60099983215332,,,,15.586999893188477,,,,,,,,,,,
,V10_SEB,21.750999450683594,,,,15.562999725341797,,,,,,,,,,,
,V10_SEB,21.72599983215332,0.080364,21.69,,15.668999671936035,0.055582,15.61,,6.09,1.04,0.097712,,0.488,0.046062,,
,V10_72h,30.551000595092773,,,,16.215000152587891,,,,,,,,,,,
,V10_72h,29.826999664306641,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,30.097999572753906,0.37,30.16,,16.170999526977539,0.028729,16.20,,13.95,8.90,0.37,,0.002087,0.17,,
,V11_PMA,23.155000686645508,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,23.167999267578125,,,,18.496000289916992,,,,,,,,,,,
,V11_PMA,23.069999694824219,0.053226,23.13,,18.517000198364258,0.058398,18.47,,4.66,-0.39,0.079015,,1.313,0.037248,,
,V11_SEB,18.434999465942383,,,,13.796999931335449,,,,,,,,,,,
,V11_SEB,18.392000198364258,,,,13.76200008392334,,,,,,,,,,,
,V11_SEB,18.386999130249023,0.026388,18.40,,13.88599967956543,0.063929,13.81,,4.59,-0.46,0.069161,,1.376,0.032603,,
,V11_72h,25.552999496459961,,,,15.402000427246094,,,,,,,,,,,
,V11_72h,25.520000457763672,,,,15.616999626159668,,,,,,,,,,,
,V11_72h,25.486000061035156,0.033501,25.52,,15.406999588012695,0.12,15.48,,10.04,4.99,0.13,,0.03138,0.059964,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
