,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,AIM2,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V7_72h,24.990999221801758,0.12,24.91,,18.312000274658203,0.057073,18.29,,6.62,2.41,0.14,,0.189,0.064058,,
,V8_PMA,24.096000671386719,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,24.006000518798828,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,24.030000686645508,0.046605,24.04,,18.552000045776367,0.034674,18.59,,5.45,1.24,0.058089,,0.423,0.027383,,
,V8_SEB,22.028999328613281,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,22.062000274658203,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,22.070999145507813,0.022113,22.05,,14.394000053405762,0.057457,14.37,,7.68,3.47,0.061566,,0.090141,0.029022,,
,V8_72h,25.98699951171875,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,26.066999435424805,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,26.018999099731445,0.040266,26.02,,15.28600025177002,0.06338,15.23,,10.80,6.59,0.075089,,0.010407,0.035397,,
,V9_PMA,25.048000335693359,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,25.202999114990234,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,25.194000244140625,0.087007,25.15,,19.208000183105469,0.12,19.28,,5.87,1.66,0.15,,0.316,0.070248,,
,V9_SEB,24.629999160766602,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,24.742000579833984,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,24.670999526977539,0.056666,24.68,,15.815999984741211,0.086008,15.90,,8.78,4.57,0.10,,0.04214,0.048553,,
,V9_72h,28.49799919128418,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,28.347000122070313,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,27.943000793457031,0.29,28.26,,18.700000762939453,0.032005,18.69,,9.58,5.37,0.29,,0.024248,0.14,,
,V10_PMA,28.138999938964844,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,27.701000213623047,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,28.024999618530273,0.23,27.95,,22.124000549316406,0.036373,22.17,,5.79,1.58,0.23,,0.335,0.11,,
,V10_SEB,24.902000427246094,,,,15.586999893188477,,,,,,,,,,,
,V10_SEB,24.812000274658203,,,,15.562999725341797,,,,,,,,,,,
,V10_SEB,24.990999221801758,0.0895,24.90,,15.668999671936035,0.055582,15.61,,9.30,5.08,0.11,,0.029476,0.049665,,
,V10_72h,26.315999984741211,,,,16.215000152587891,,,,,,,,,,,
,V10_72h,26.215000152587891,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,26.25,0.051287,26.26,,16.170999526977539,0.028729,16.20,,10.06,5.85,0.058785,,0.017389,0.027712,,
,V11_PMA,23.107999801635742,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,23.052999496459961,,,,18.496000289916992,,,,,,,,,,,
,V11_PMA,23.111000061035156,0.032655,23.09,,18.517000198364258,0.058398,18.47,,4.62,0.41,0.066908,,0.755,0.031541,,
,V11_SEB,22.577999114990234,,,,13.796999931335449,,,,,,,,,,,
,V11_SEB,22.472999572753906,,,,13.76200008392334,,,,,,,,,,,
,V11_SEB,22.677999496459961,0.10,22.58,,13.88599967956543,0.063929,13.81,,8.76,4.55,0.12,,0.042679,0.056951,,
,V11_72h,24.187000274658203,,,,15.402000427246094,,,,,,,,,,,
,V11_72h,24.204999923706055,,,,15.616999626159668,,,,,,,,,,,
,V11_72h,24.261999130249023,0.039153,24.22,,15.406999588012695,0.12,15.48,,8.74,4.53,0.13,,0.043235,0.06072,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
