,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,INFG,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,15.991000175476074,,,,17.777000427246094,,,,,,,,,,
,Kalibraator,16.232999801635742,,,,17.715000152587891,,,,,,,,,,
,,15.98799991607666,0.14,16.07,,17.694000244140625,0.043155,17.73,,-1.66,0.00,0.15,,1.000,0.069328,
,,,,,,,,,,,,,,,,
,V1_PMA,,,,,18.259000778198242,,,,,,,,,,
,V1_PMA,15.925000190734863,,,,18.482000350952148,,,,,,,,,,
,V1_PMA,15.666999816894531,0.18,15.80,,18.288000106811523,0.12,18.34,,-2.55,-0.89,0.22,,1.852,0.12,
,V1_SEB,15.034000396728516,,,,13.21399974822998,,,,,,,,,,
,V1_SEB,15.383000373840332,,,,13.519000053405762,,,,,,,,,,
,V1_SEB,14.72700023651123,0.33,15.05,,13.529999732971191,0.18,13.42,,1.63,3.29,0.37,,0.103,0.18,
,V1_72h,31.294000625610352,,,,17.13800048828125,,,,,,,,,,
,V1_72h,,,,,16.940999984741211,,,,,,,,,,
,V1_72h,30.648000717163086,0.46,30.97,,17.072999954223633,0.10,17.05,,13.92,15.58,0.47,,0.00002,0.25,
,V2_PMA,18.479999542236328,,,,17.75,,,,,,,,,,
,V2_PMA,18.599000930786133,,,,17.818000793457031,,,,,,,,,,
,V2_PMA,18.475000381469727,0.070193,18.52,,17.830999374389648,0.043501,17.80,,0.72,2.38,0.08258,,0.193,0.038928,
,V2_SEB,19.11199951171875,,,,15.706000328063965,,,,,,,,,,
,V2_SEB,19.013999938964844,,,,15.732999801635742,,,,,,,,,,
,V2_SEB,18.996000289916992,0.062428,19.04,,15.708999633789063,0.014799,15.72,,3.32,4.98,0.064158,,0.031628,0.030244,
,V2_72h,29.88599967956543,,,,16.684999465942383,,,,,,,,,,
,V2_72h,29.732000350952148,,,,16.621000289916992,,,,,,,,,,
,V2_72h,,0.11,29.81,,16.670999526977539,0.033645,16.66,,13.15,14.81,0.11,,0.000035,0.060921,
,V3_PMA,18.98699951171875,,,,18.197999954223633,,,,,,,,,,
,V3_PMA,18.958000183105469,,,,18.245000839233398,,,,,,,,,,
,V3_PMA,19.027999877929687,0.035171,18.99,,18.23900032043457,0.02558,18.23,,0.76,2.42,0.04349,,0.187,0.020501,
,V3_SEB,16.527000427246094,,,,14.526000022888184,,,,,,,,,,
,V3_SEB,17.13599967956543,,,,14.602999687194824,,,,,,,,,,
,V3_SEB,,0.43,16.83,,14.58899974822998,0.041016,14.57,,2.26,3.92,0.43,,0.066209,0.23,
,V3_72h,34.687000274658203,,,,16.952999114990234,,,,,,,,,,
,V3_72h,31.486000061035156,,,,16.940000534057617,,,,,,,,,,
,V3_72h,,2.26,33.09,,16.961000442504883,0.010599,16.95,,16.14,17.79,2.26,,0.000004,1.21,
,V4_PMA,14.574999809265137,,,,17.145000457763672,,,,,,,,,,
,V4_PMA,,,,,17.46299934387207,,,,,,,,,,
,V4_PMA,15.147000312805176,0.40,14.86,,17.156999588012695,0.18,17.25,,-2.39,-0.74,0.44,,1.666,0.24,
,V4_SEB,16.884000778198242,,,,14.753999710083008,,,,,,,,,,
,V4_SEB,17.124000549316406,,,,14.25100040435791,,,,,,,,,,
,V4_SEB,17.350000381469727,0.23,17.12,,14.230999946594238,0.30,14.41,,2.71,4.37,0.38,,0.048518,0.18,
,V4_72h,,,,,15.118000030517578,,,,,,,,,,
,V4_72h,29.655000686645508,,,,15.220000267028809,,,,,,,,,,
,V4_72h,29.996999740600586,0.24,29.83,,15.281000137329102,0.082355,15.21,,14.62,16.28,0.26,,0.000013,0.14,
,V5_PMA,18.680999755859375,,,,19.333999633789063,,,,,,,,,,
,V5_PMA,18.841999053955078,,,,18.739999771118164,,,,,,,,,,
,V5_PMA,18.745000839233398,0.081061,18.76,,19.406999588012695,0.37,19.16,,-0.40,1.25,0.37,,0.419,0.18,
,V5_SEB,16.311000823974609,,,,14.637999534606934,,,,,,,,,,
,V5_SEB,16.590999603271484,,,,14.60200023651123,,,,,,,,,,
,V5_SEB,16.441999435424805,0.14,16.45,,14.607000350952148,0.019502,14.62,,1.83,3.49,0.14,,0.088983,0.066679,
,V5_72h,31.593000411987305,,,,17.23699951171875,,,,,,,,,,
,V5_72h,31.771999359130859,,,,17.299999237060547,,,,,,,,,,
,V5_72h,,0.13,31.68,,17.277000427246094,0.03188,17.27,,14.41,16.07,0.13,,0.000015,0.069768,
,V6_PMA,15.493000030517578,,,,19.724000930786133,,,,,,,,,,
,V6_PMA,15.505000114440918,,,,19.843999862670898,,,,,,,,,,
,V6_PMA,15.121999740600586,0.22,15.37,,19.870000839233398,0.07788,19.81,,-4.44,-2.78,0.23,,6.875,0.11,
,V6_SEB,14.350000381469727,,,,12.51200008392334,,,,,,,,,,
,V6_SEB,,,,,13.010000228881836,,,,,,,,,,
,V6_SEB,14.270000457763672,0.056568,14.31,,12.732999801635742,0.25,12.75,,1.56,3.22,0.26,,0.108,0.14,
,V6_72h,35.480998992919922,,,,17.481000900268555,,,,,,,,,,
,V6_72h,34.080001831054687,,,,17.933000564575195,,,,,,,,,,
,V6_72h,Undetermined,0.99,34.78,,17.746000289916992,0.23,17.72,,17.06,18.72,1.02,,0.000002,0.54,
,V7_PMA,,,,,19.440000534057617,,,,,,,,,,
,V7_PMA,15.529999732971191,,,,19.465999603271484,,,,,,,,,,
,V7_PMA,15.39799976348877,0.093338,15.46,,19.413000106811523,0.026501,19.44,,-3.98,-2.32,0.097027,,4.985,0.051863,
,V7_SEB,14.677000045776367,,,,13.425999641418457,,,,,,,,,,
,V7_SEB,14.48799991607666,,,,13.420000076293945,,,,,,,,,,
,V7_SEB,14.446999549865723,0.12,14.54,,13.46399974822998,0.023861,13.44,,1.10,2.76,0.12,,0.148,0.058916,
,V7_72h,27.86199951171875,,,,18.22599983215332,,,,,,,,,,
,V7_72h,27.329999923706055,,,,18.333999633789063,,,,,,,,,,
,V7_72h,27.318000793457031,0.31,27.50,,18.312000274658203,0.057073,18.29,,9.21,10.87,0.32,,0.000534,0.15,
,V8_PMA,17.924999237060547,,,,18.60099983215332,,,,,,,,,,
,V8_PMA,17.96299934387207,,,,18.618999481201172,,,,,,,,,,
,V8_PMA,17.881000518798828,0.041036,17.92,,18.552000045776367,0.034674,18.59,,-0.67,0.99,0.053724,,0.503,0.025326,
,V8_SEB,16.98900032043457,,,,14.305999755859375,,,,,,,,,,
,V8_SEB,17.25200080871582,,,,14.413999557495117,,,,,,,,,,
,V8_SEB,17.069000244140625,0.13,17.10,,14.394000053405762,0.057457,14.37,,2.73,4.39,0.15,,0.047696,0.069086,
,V8_72h,29.540000915527344,,,,15.234999656677246,,,,,,,,,,
,V8_72h,28.943000793457031,,,,15.159999847412109,,,,,,,,,,
,V8_72h,29.469999313354492,0.33,29.32,,15.28600025177002,0.06338,15.23,,14.09,15.75,0.33,,0.000018,0.16,
,V9_PMA,17.926000595092773,,,,19.415000915527344,,,,,,,,,,
,V9_PMA,17.940999984741211,,,,19.202999114990234,,,,,,,,,,
,V9_PMA,,0.010606,17.93,,19.208000183105469,0.12,19.28,,-1.34,0.32,0.12,,0.803,0.064915,
,V9_SEB,19.327999114990234,,,,15.899999618530273,,,,,,,,,,
,V9_SEB,,,,,15.98799991607666,,,,,,,,,,
,V9_SEB,17.871000289916992,1.03,18.60,,15.815999984741211,0.086008,15.90,,2.70,4.36,1.03,,0.048827,0.55,
,V9_72h,32.409000396728516,,,,18.64900016784668,,,,,,,,,,
,V9_72h,33.113998413085938,,,,18.708000183105469,,,,,,,,,,
,V9_72h,,0.50,32.76,,18.700000762939453,0.032005,18.69,,14.08,15.73,0.50,,0.000018,0.27,
,V10_PMA,23.422000885009766,,,,22.187000274658203,,,,,,,,,,
,V10_PMA,23.721000671386719,,,,22.187000274658203,,,,,,,,,,
,V10_PMA,23.330999374389648,0.20,23.49,,22.124000549316406,0.036373,22.17,,1.33,2.98,0.21,,0.126,0.0977,
,V10_SEB,16.392999649047852,,,,15.586999893188477,,,,,,,,,,
,V10_SEB,16.568000793457031,,,,15.562999725341797,,,,,,,,,,
,V10_SEB,16.483999252319336,0.087524,16.48,,15.668999671936035,0.055582,15.61,,0.88,2.53,0.10,,0.173,0.048876,
,V10_72h,32.941001892089844,,,,16.215000152587891,,,,,,,,,,
,V10_72h,31.854000091552734,,,,16.225000381469727,,,,,,,,,,,
,V10_72h,32.955001831054687,0.63,32.58,,16.170999526977539,0.028729,16.20,,16.38,18.04,0.63,,0.000004,0.30,,
,V11_PMA,19.066999435424805,,,,18.406999588012695,,,,,,,,,,,
,V11_PMA,19.12700080871582,,,,18.496000289916992,,,,,,,,,,,
,V11_PMA,19.028999328613281,0.049411,19.07,,18.517000198364258,0.058398,18.47,,0.60,2.26,0.076497,,0.209,0.036061,,
,V11_SEB,17.642999649047852,,,,13.796999931335449,,,,,,,,,,,
,V11_SEB,17.040000915527344,,,,13.76200008392334,,,,,,,,,,,
,V11_SEB,17.111000061035156,0.33,17.26,,13.88599967956543,0.063929,13.81,,3.45,5.11,0.34,,0.029003,0.16,,
,V11_72h,26.802999496459961,,,,15.402000427246094,,,,,,,,,,,
,V11_72h,25.809000015258789,,,,15.616999626159668,,,,,,,,,,,
,V11_72h,,0.70,26.31,,15.406999588012695,0.12,15.48,,10.83,12.49,0.71,,0.000174,0.38,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
