SAMPLE	AIM2	CASP1	CCL2	CCL20	CCL27	CCL5	CTLA4	CXCL1	CXCL10	CXCL2	DEFB1	EOMES	FOXP3	IFIH1	IFNAR1	IFNG	IFNGR	IL10	IL17A	IL17F	IL1b	IL1F6	IL1RN	IL20RA	IL22	IL22RA1	IL22RA2	IL26	IL8b	KLRK1	LCN2	MICB	NLRP1	NLRP3	PI3	PYCARD	REG3A	S100A8	S100A9	TNF	TRGC1	WIPI1
25	PH026	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
26	PH027	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
27	PH028	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
28	PH029	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
29	PH030	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
30	PH031	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
31	PH032	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
32	PH033	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
33	PH034	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
34	PH035	13.978	11.45433	11.25533	6.831667	13.14433	11.74867	16.3305	2.822	13.14233	5.278666	12.11233	13.54167	16.13267	11.73513	7.093	13.14233	5.013579	14.99183	7.533649	13.02758	8.265333	15.43567	10.891	10.497	13.49313	9.483299	13.83221	13.74514	5.053	14.694	-1.144195	7.410333	9.402666	11.61528	5.544333	12.09433	23.9515	9.947	10.44033	13.60567	16.89367	12.869
