SAMPLE	AIM2	CTLA4	EOMES	FOXP3	IFIH1	IL10	IL17A	IL17F	IL22	IL4	INFG	OAS2	PI3	PYCARD	TIGIT2
41	P031_PMA	1.411000	 2.792000	 7.852	 4.976000	0.383000	 2.336000	17.456	10.012	5.882	5.551	0.783000	0.583	NA	  2.830	 3.297
42	P031_SEB	0.879000	 7.987000	14.554	17.488000	1.651000	 7.815000	4.789	144.107	7.423	3.705	1.166000	3.371	NA	 73.908	 5.715
43	P032_72h	0.098801	 0.042807	 0.942	 1.272000	0.369000	 0.693000	NA	NA	NA	NA	NA	0.499	NA	150.331	 0.896
44	P032_PMA	1.192000	 1.448000	 1.250	 1.714000	0.378000	 1.776000	7.983	6.313	9.573	17.639	1.056000	0.516	NA	  1.703	 2.132
45	P032_SEB	0.743000	 4.235000	 4.795	14.949000	1.219000	27.928000	3.821	75.557	3.181	12.406	NA	2.184	NA	 65.390	 2.794
46	P033_72h	0.062025	 0.083543	 4.086	 0.495000	0.410000	 2.796000	0.00403	NA	NA	NA	0.000105	1.007	NA	133.343	 2.899
47	P033_PMA	1.981000	 5.327000	 4.133	 2.189000	0.215000	 5.517000	NA	1.350	3.263	8.521	0.912000	0.654	NA	  1.495	 4.091
48	P033_SEB	0.937000	17.753000	 7.144	26.809000	NA	13.114000	8.301	49.328	1.577	3.032	1.029000	6.593	NA	102.206	 7.640
49	P034_72h	0.059499	 0.051344	 1.898	 0.367000	0.451000	 2.071000	NA	NA	0.011159	NA	0.000101	0.647	NA	178.692	 0.912
50	P034_PMA	0.881000	 2.602000	 3.160	 1.049000	0.348000	 4.635000	2.676	2.977	1.782	4.102	0.758000	0.632	0.320	  3.066	 2.795
51	P034_SEB	0.742000	11.096000	 5.181	13.688000	1.080000	18.992000	9.372	138.333	1.852	1.925	0.408000	3.496	0.018646	 81.666	 3.291
52	P035_72h	0.065835	 0.076929	 1.744	 0.857000	0.228000	 3.043000	NA	NA	NA	NA	0.000091	1.298	NA	180.268	 1.024
53	P035_PMA	0.773000	 2.176000	 1.335	 1.911000	NA	 1.573000	7.031	NA	NA	NA	NA	0.895	NA	NA	 2.014
54	P035_SEB	NA	 7.310000	 3.725	14.776000	NA	13.049000	3.008	NA	2.038	6.806	NA	NA	NA	 64.527	 3.224
55	P1_72h	0.105000	 0.191000	 2.115	 1.402000	3.069000	37.074000	NA	NA	NA	NA	0.000026	1.385	NA	318.099	 1.752
56	P1_PMA	3.811000	10.676000	 2.284	 8.764000	0.856000	10.488000	159.050	53.855	111.199	7.313	1.092000	0.766	NA	  2.289	 4.460
57	P1_SEB	1.712000	41.432000	 2.691	75.549000	3.830000	 7.586000	20.205	295.292	16.534	1.695	0.781000	4.505	NA	158.463	 8.546
58	P10_72h	0.081447	 0.118000	 4.204	 0.612000	1.191000	 6.278000	NA	NA	NA	NA	NA	0.866	NA	173.245	 1.811
59	P10_PMA	1.456000	 3.722000	 2.018	 2.160000	NA	 1.409000	2.502	0.202	1.303	28.029	0.380000	0.668	NA	NA	 2.743
60	P10_SEB	1.923000	17.061000	14.524	22.409000	NA	25.557000	9.781	55.967	1.219	12.935	0.279000	2.625	NA	 93.658	 3.577
61	P11_72h	0.265000	 0.259000	 4.655	 1.550000	1.825000	 9.492000	NA	0.004101	NA	NA	0.000052	1.542	NA	228.175	 2.348
62	P11_PMA	1.275000	 4.601000	 2.421	 1.285000	1.148000	 4.939000	3.947	1.071	11.906	43.972	0.388000	0.771	NA	  4.544	 2.865
63	P11_SEB	2.716000	26.477000	 8.766	26.655000	NA	15.398000	2.309	17.472	1.073	22.761	0.122000	3.485	NA	105.031	 3.258
64	P12_72h	0.233000	 0.088716	 2.911	 0.714000	NA	 4.268000	0.001031	0.00111	NA	NA	0.000122	1.233	0.068885	102.253	 1.337
65	P12_PMA	5.409000	16.431000	25.200	14.221000	1.222000	15.956000	99.802	36.319	16.111	8.135	1.790000	1.564	NA	  4.705	 6.238
66	P12_SEB	1.047000	11.554000	19.058	46.602000	2.999000	18.804000	2.504	71.473	9.202	10.779	0.122000	4.023	NA	 41.346	 8.344
67	P13_72h	0.369000	 0.125000	 2.318	 1.075000	1.477000	 1.396000	NA	0.001758	0.049848	NA	0.000155	1.088	NA	143.310	 1.090
68	P13_PMA	1.952000	 2.728000	 3.737	 1.479000	0.993000	 2.957000	10.605	4.677	27.499	16.162	1.443000	1.205	NA	NA	 1.645
69	P13_SEB	1.247000	13.260000	 6.246	11.332000	2.600000	39.937000	6.613	81.713	13.485	5.685	0.739000	3.898	NA	 57.947	 2.424
70	P14_72h	0.105000	 0.113000	 3.313	 0.725000	1.736000	 7.948000	NA	NA	NA	NA	0.000290	1.464	NA	171.294	 1.417
71	P14_PMA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
72	P14_SEB	1.115000	28.827000	12.224	28.417000	3.669000	31.147000	12.987	104.740	8.299	10.565	1.029000	4.508	0.00484	 55.909	 3.996
73	P15_72h	0.157000	 0.175000	 1.605	 0.691000	NA	 4.996000	NA	NA	NA	NA	0.000085	0.825	NA	152.835	 0.818
74	P15_PMA	2.381000	 6.043000	 3.694	 5.380000	0.963000	 7.173000	15.225	3.712	NA	37.674	NA	1.381	NA	  3.180	 2.400
75	P15_SEB	1.480000	21.156000	 6.587	48.302000	NA	30.967000	9.208	NA	0.589	9.830	0.329000	NA	NA	 73.432	 5.124
