logFC	AveExpr	t	P.Value	adj.P.Val	B
CTLA4	6.33132545107886	0.158548231336804	15.9628117230348	2.70425920354496e-20	2.43383328319046e-19	36.0653555851884
FOXP3	4.68847722756742	2.29426810278409	14.3905848712568	9.05197111261229e-19	4.07338700067553e-18	32.5548656626047
INFG	11.973750528355	-6.16708538505476	10.8318245020696	3.59411715275875e-12	9.66049050798681e-12	17.758907492152
PYCARD	-1.21455000195526	6.51634047271511	-9.17046205265555	4.29355133688303e-12	9.66049050798681e-12	17.1717400138408
AIM2	2.61979808258289	-1.59272461711497	9.15104403024644	5.58277142659182e-12	1.00489885678653e-11	16.9304919125898
OAS2	1.8879920682933	0.789778645274854	8.68646138406766	2.62786296547959e-11	3.94179444821938e-11	15.3815209147749
TIGIT2	1.58934948030699	1.03475676372083	6.75714079606434	1.79801704916877e-08	2.31173620607414e-08	8.8537498873126
IFIH1	1.14331474564651	0.193049801554663	4.34800436064491	8.67346463001788e-05	9.75764770877012e-05	0.601356987941012
EOMES	1.15615583825229	1.78663831291469	3.55199584266092	0.000873828302830954	0.000873828302830954	-1.71654920964516
