,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,EOMES,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,27.222000122070313,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,27.721000671386719,,,,14.034999847412109,,,,,,,,,,
,,27.829000473022461,0.32380933984548466,27.590667088826496,,14.088000297546387,0.03422,14.049000104268393,,13.541666984558104,0,0.32561249686643606,,1,0.15349520304889361,
,,,,,,,,,,,,,,,,
,C001,32.945999145507813,,,,19.330999374389648,,,,,,,,,,
,C001,,,,,19.381000518798828,,,,,,,,,,
,C001,32.805999755859375,0.098995,32.875999450683594,,19.308000564575195,0.037323,19.340000152587891,,13.535999298095703,-0.005668,0.10579661330241674,,1.0039362677235579,0.056551,
,C002,32.247001647949219,,,,17.597000122070313,,,,,,,,,,
,C002,32.821998596191406,,,,17.632999420166016,,,,,,,,,,
,C002,,0.40658424126362108,32.534500122070313,,17.625999450683594,0.019087,17.618666330973308,,14.915833791097004,1.3741668065389003,0.40703201789696386,,0.38577543725822011,0.21756776520252541,
,C003,32.250999450683594,,,,17.923000335693359,,,,,,,,,,
,C003,31.856000900268555,,,,17.88599967956543,,,,,,,,,,
,C003,Undetermined,0.27930615355733046,32.053500175476074,,17.900999069213867,0.01861,17.903333028157551,,14.150167147318523,0.60850016276041963,0.27992548129230482,,0.65587820381789774,0.14962646354622902,
,C004,30.610000610351563,,,,16.253000259399414,,,,,,,,,,
,C004,31.209999084472656,,,,16.302000045776367,,,,,,,,,,
,C004,30.957000732421875,0.30122400850664377,30.925666809082031,,16.329000473022461,0.038527,16.294666926066082,,14.630999883015949,1.0893328984578456,0.30367785958481042,,0.46997864228505121,0.14315511587242377,
,C005,,,,,16.190999984741211,,,,,,,,,,
,C005,33.939998626708984,,,,16.264999389648438,,,,,,,,,,
,C005,32.798999786376953,0.80680801732476615,33.369499206542969,,16.538999557495117,0.18332835139144005,16.331666310628254,,17.037832895914715,3.496165911356611,0.82737443835510383,,8.8623559846874117E-2,0.44225023984275935,
,C006,Undetermined,,,,17.933000564575195,,,,,,,,,,
,C006,34.408000946044922,,,,17.965000152587891,,,,,,,,,,
,C006,32.104000091552734,1.6291746280710258,33.256000518798828,,18.054000854492188,0.062698,17.98400052388509,,15.271999994913738,1.7303330103556345,1.6303806294459089,,0.30138238224782993,0.87147510363134761,
,C007,31.763999938964844,,,,17.551000595092773,,,,,,,,,,
,C007,Undetermined,,,,17.541000366210938,,,,,,,,,,
,C007,33.637001037597656,1.3244117780131153,32.70050048828125,,17.596000671386719,0.029297,17.562667210896809,,15.137833277384441,1.5961662928263376,1.3247357844398473,,0.33075473320186732,0.70810106191044664,
,C008,,,,,18.277000427246094,,,,,,,,,,
,C008,30.304000854492188,,,,18.302000045776367,,,,,,,,,,
,C008,30.805999755859375,0.35496682730493512,30.555000305175781,,18.326999664306641,0.025,18.302000045776367,,12.253000259399414,-1.2886667251586896,0.35584607545059538,,2.4430217793188564,0.1902077281091768,
,C009,30.159999847412109,,,,18.665000915527344,,,,,,,,,,
,C009,30.041999816894531,,,,18.716999053955078,,,,,,,,,,
