,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,
,,WIPI1,,,,Bact,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,26.863000869750977,,,,14.02400016784668,,,,,,,,,,
,Kalibraator,27.107000350952148,,,,14.034999847412109,,,,,,,,,,
,,26.784000396728516,0.16837744900086221,26.918000539143879,,14.088000297546387,0.03422,14.049000104268393,,12.869000434875487,0,0.17181959980300326,,1,0.080997,
,,,,,,,,,,,,,,,,
,VH001,27.329000473022461,,,,19.716999053955078,,,,,,,,,,
,VH001,27.464000701904297,,,,19.629999160766602,,,,,,,,,,
,VH001,27.996999740600586,0.35320816773629238,27.596666971842449,,19.670000076293945,0.043547,19.672332763671875,,7.9243342081705741,-4.9446662267049124,0.35588247523885297,,30.7958966005923,0.16776460769789769,
,VT001,28.934000015258789,,,,20.313999176025391,,,,,,,,,,
,VT001,29.392000198364258,,,,20.326999664306641,,,,,,,,,,
,VT001,28.868000030517578,0.2853933956295624,29.064666748046875,,20.340999603271484,0.013503,20.327332814534504,,8.737333933512371,-4.1316665013631155,0.28571266909019905,,17.528935742194015,0.13468624385639191,
,VH003,27.781999588012695,,,,20.090000152587891,,,,,,,,,,
,VH003,27.819999694824219,,,,20.068000793457031,,,,,,,,,,
,VH003,27.538000106811523,0.15302697070748569,27.713333129882813,,19.995000839233398,0.049729,20.051000595092773,,7.6623325347900391,-5.2066679000854474,0.16090440083069207,,36.928631628212329,0.075851,
,VT003,28.086000442504883,,,,18.227616999999999,,,,,,,,,,
,VT003,27.959999084472656,,,,18.255737,,,,,,,,,,
,VT003,27.927999496459961,0.083531,27.9913330078125,,18.354378000000001,0.06657,18.279244000000002,,9.712089007812498,-3.1569114270629886,0.10681272334639304,,8.9191821480157234,0.050352,
,VH004,27.628999710083008,,,,18.934999465942383,,,,,,,,,,
,VH004,28.120000839233398,,,,18.86400032043457,,,,,,,,,,
,VH004,27.950000762939453,0.24934040008971586,27.899667104085285,,18.943000793457031,0.043486,18.914000193277996,,8.9856669108072893,-3.8833335240681972,0.25310399224561375,,14.757061048366584,0.11931436617484056,
,VT004,28.003999710083008,,,,19.344999313354492,,,,,,,,,,
