,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PI3,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V7_SEB,33.534999847412109,0.22,33.49,,13.46399974822998,0.023861,13.44,,20.06,7.14,0.22,,0.007101,0.10,,
,V7_72h,Undetermined,,,,18.22599983215332,,,,,,,,,,,
,V7_72h,Undetermined,,,,18.333999633789063,,,,,,,,,,,
,V7_72h,Undetermined,#DIV/0!,#DIV/0!,,18.312000274658203,0.057073,18.29,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,
,V8_PMA,33.102001190185547,,,,18.60099983215332,,,,,,,,,,,
,V8_PMA,Undetermined,,,,18.618999481201172,,,,,,,,,,,
,V8_PMA,32.388999938964844,0.50,32.75,,18.552000045776367,0.034674,18.59,,14.15,1.24,0.51,,0.424,0.27,,
,V8_SEB,Undetermined,,,,14.305999755859375,,,,,,,,,,,
,V8_SEB,33.587001800537109,,,,14.413999557495117,,,,,,,,,,,
,V8_SEB,Undetermined,#DIV/0!,33.59,,14.394000053405762,0.057457,14.37,,19.22,6.30,#DIV/0!,,0.012712,#DIV/0!,,
,V8_72h,35.313999176025391,,,,15.234999656677246,,,,,,,,,,,
,V8_72h,33.589000701904297,,,,15.159999847412109,,,,,,,,,,,
,V8_72h,Undetermined,1.22,34.45,,15.28600025177002,0.06338,15.23,,19.22,6.31,1.22,,0.012634,0.65,,
,V9_PMA,Undetermined,,,,19.415000915527344,,,,,,,,,,,
,V9_PMA,32.425998687744141,,,,19.202999114990234,,,,,,,,,,,
,V9_PMA,Undetermined,#DIV/0!,32.43,,19.208000183105469,0.12,19.28,,13.15,0.23,#DIV/0!,,0.851,#DIV/0!,,
,V9_SEB,Undetermined,,,,15.899999618530273,,,,,,,,,,,
,V9_SEB,Undetermined,,,,15.98799991607666,,,,,,,,,,,
,V9_SEB,Undetermined,#DIV/0!,#DIV/0!,,15.815999984741211,0.086008,15.90,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,
,V9_72h,Undetermined,,,,18.64900016784668,,,,,,,,,,,
,V9_72h,Undetermined,,,,18.708000183105469,,,,,,,,,,,
,V9_72h,Undetermined,#DIV/0!,#DIV/0!,,18.700000762939453,0.032005,18.69,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,,
,V10_PMA,Undetermined,,,,22.187000274658203,,,,,,,,,,,
,V10_PMA,Undetermined,,,,22.187000274658203,,,,,,,,,,,
