,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PI3,,,,Bact,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,31.100000381469727,,,,17.930999755859375,,,,,,,,,,,
,Kalibraator,,,,,18.006000518798828,,,,,,,,,,,
,,31.923999786376953,0.58,31.51,,17.895999908447266,0.056199,17.94,,13.57,0.00,0.59,,1.000,0.31,,
,C18_72h,Undetermined,#DIV/0!,39.71,,19.618000030517578,0.17,19.42,,20.29,6.72,#DIV/0!,,0.009484,#DIV/0!,
,C19_PMA,37.178001403808594,,,,18.110000610351563,,,,,,,,,,
,C19_PMA,Undetermined,,,,18.139999389648438,,,,,,,,,,
,C19_PMA,Undetermined,#DIV/0!,37.18,,18.208000183105469,0.050213,18.15,,19.03,5.46,#DIV/0!,,0.022755,#DIV/0!,
,C19_SEB,Undetermined,,,,14.866999626159668,,,,,,,,,,
,C19_SEB,32.604999542236328,,,,14.866999626159668,,,,,,,,,,
,C19_SEB,Undetermined,#DIV/0!,32.60,,14.892999649047852,0.015011,14.88,,17.73,4.16,#DIV/0!,,0.055874,#DIV/0!,
,C19_72h,Undetermined,,,,17.625,,,,,,,,,,
,C19_72h,34.525001525878906,,,,17.663999557495117,,,,,,,,,,
,C19_72h,37.183998107910156,1.88,35.85,,17.722999572753906,0.049339,17.67,,18.18,4.62,1.88,,0.040775,1.01,
,C20_PMA,Undetermined,,,,16.856000900268555,,,,,,,,,,
,C20_PMA,Undetermined,,,,16.878000259399414,,,,,,,,,,
,C20_PMA,37.387001037597656,#DIV/0!,37.39,,16.858999252319336,0.01193,16.86,,20.52,6.96,#DIV/0!,,0.00806,#DIV/0!,
,C20_SEB,35.455001831054687,,,,14.038000106811523,,,,,,,,,,
,C20_SEB,33.46099853515625,,,,13.925999641418457,,,,,,,,,,
,C20_SEB,Undetermined,1.41,34.46,,14.038999557495117,0.064954,14.00,,20.46,6.89,1.41,,0.008435,0.75,
,C20_72h,Undetermined,,,,16.520000457763672,,,,,,,,,,
,C20_72h,38.341999053955078,,,,16.527000427246094,,,,,,,,,,
,C20_72h,39.244998931884766,0.64,38.79,,16.563999176025391,0.023642,16.54,,22.26,8.69,0.64,,0.002423,0.34,
,C21_PMA,Undetermined,,,,18.260000228881836,,,,,,,,,,
,C21_PMA,Undetermined,,,,18.267999649047852,,,,,,,,,,
,C21_PMA,Undetermined,#DIV/0!,#DIV/0!,,18.225000381469727,0.022869,18.25,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C21_SEB,Undetermined,,,,15.685999870300293,,,,,,,,,,
,C21_SEB,Undetermined,,,,15.741000175476074,,,,,,,,,,
,C21_SEB,Undetermined,#DIV/0!,#DIV/0!,,15.710000038146973,0.027574,15.71,,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,#DIV/0!,
,C21_72h,33.417999267578125,,,,17.327999114990234,,,,,,,,,,
,C21_72h,35.548000335693359,,,,17.356000900268555,,,,,,,,,,
,C21_72h,35.36199951171875,1.18,34.78,,17.311000823974609,0.022723,17.33,,17.44,3.88,1.18,,0.068078,0.56,
,C22_PMA,35.387001037597656,,,,17.971000671386719,,,,,,,,,,
,C22_PMA,33.573001861572266,,,,17.955999374389648,,,,,,,,,,
,C22_PMA,33.425998687744141,1.09,34.13,,18.024999618530273,0.03629,17.98,,16.14,2.58,1.09,,0.168,0.52,
,C22_SEB,37.555000305175781,,,,13.909999847412109,,,,,,,,,,
,C22_SEB,Undetermined,,,,14.072999954223633,,,,,,,,,,
