,SAMPLE,CT,STD,[CT],,CT,STD,[CT],,ΔCT,ΔΔCT,STD,,2-ΔΔCT,SEM,,
,,PYCARD,,,,B2mg,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,V7_72h,22.73900032043457,0.039577,22.76,,16.986000061035156,0.019925,16.97,,5.79,-8.89,0.044309,,472.990,0.020888,,
,V8_PMA,29.375999450683594,,,,16.339000701904297,,,,,,,,,,,
,V8_PMA,29.693000793457031,,,,16.431999206542969,,,,,,,,,,,
,V8_PMA,29.825000762939453,0.23,29.63,,16.552999496459961,0.11,16.44,,13.19,-1.48,0.25,,2.797,0.12,,
,V8_SEB,23.309999465942383,,,,14.925999641418457,,,,,,,,,,,
,V8_SEB,23.424999237060547,,,,14.953000068664551,,,,,,,,,,,
,V8_SEB,23.398000717163086,0.060136,23.38,,14.859999656677246,0.047844,14.91,,8.46,-6.21,0.076846,,73.994,0.036226,,
,V8_72h,21.645999908447266,,,,14.272000312805176,,,,,,,,,,,
,V8_72h,21.594999313354492,,,,14.22700023651123,,,,,,,,,,,
,V8_72h,21.620000839233398,0.025502,21.62,,14.071000099182129,0.11,14.19,,7.43,-7.24,0.11,,151.552,0.051159,,
,V9_PMA,30.559999465942383,,,,16.83799934387207,,,,,,,,,,,
,V9_PMA,30.959999084472656,,,,16.738000869750977,,,,,,,,,,,
,V9_PMA,30.465000152587891,0.26,30.66,,16.820999145507813,0.053506,16.80,,13.86,-0.81,0.27,,1.755,0.13,,
,V9_SEB,25.791000366210938,,,,16.388999938964844,,,,,,,,,,,
,V9_SEB,25.704999923706055,,,,15.923999786376953,,,,,,,,,,,
,V9_SEB,25.822000503540039,0.060617,25.77,,16.405000686645508,0.27,16.24,,9.53,-5.14,0.28,,35.277,0.13,,
,V9_72h,25.26300048828125,,,,17.948999404907227,,,,,,,,,,,
,V9_72h,25.392000198364258,,,,17.944000244140625,,,,,,,,,,,
,V9_72h,25.527999877929688,0.13,25.39,,17.992000579833984,0.026389,17.96,,7.43,-7.24,0.14,,151.307,0.063695,,
,V10_PMA,32.542999267578125,,,,19.680000305175781,,,,,,,,,,,
,V10_PMA,31.524999618530273,,,,19.75200080871582,,,,,,,,,,,
,V10_PMA,,0.72,32.03,,19.819000244140625,0.069515,19.75,,12.28,-2.39,0.72,,5.243,0.39,,
,V10_SEB,24.474000930786133,,,,15.680000305175781,,,,,,,,,,,
,V10_SEB,24.506999969482422,,,,15.696999549865723,,,,,,,,,,,
,V10_SEB,24.503000259399414,0.018009,24.49,,15.729000091552734,0.02488,15.70,,8.79,-5.88,0.030713,,58.946,0.014478,,
,V10_72h,22.676000595092773,,,,15.557999610900879,,,,,,,,,,,
,V10_72h,22.686000823974609,,,,15.628000259399414,,,,,,,,,,,
,V10_72h,22.636999130249023,0.025892,22.67,,15.546999931335449,0.043936,15.58,,7.09,-7.59,0.050997,,192.049,0.02404,,
,V11_PMA,29.37700080871582,,,,15.906999588012695,,,,,,,,,,,
,V11_PMA,29.631000518798828,,,,15.85099983215332,,,,,,,,,,,
,V11_PMA,29.701999664306641,0.17,29.57,,15.859999656677246,0.030072,15.87,,13.70,-0.98,0.17,,1.968,0.081787,,
,V11_SEB,23.107000350952148,,,,15.253999710083008,,,,,,,,,,,
,V11_SEB,23.110000610351563,,,,15.25100040435791,,,,,,,,,,,
,V11_SEB,23.048000335693359,0.034962,23.09,,15.253999710083008,0.001732,15.25,,7.84,-6.84,0.035005,,114.457,0.016501,,
,V11_72h,21.330999374389648,,,,14.444999694824219,,,,,,,,,,,
,V11_72h,21.306999206542969,,,,14.814000129699707,,,,,,,,,,,
,V11_72h,21.311000823974609,0.012858,21.32,,14.420999526977539,0.22,14.56,,6.76,-7.92,0.22,,241.799,0.10,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
